a,b,c,d
2.9,-2.7908040548108604,0.0,-187.4541147369642
2.6,-6.1183918903782715,-43.25864186237635,278.1705736848204
2.0,-7.835628383676047,20.934567449505277,-46.42818000231664
1.5,-5.439094574917542,10.220372064355283,127.24214632444583
1.2,-1.6079933166537854,39.58394429307355,-23.140405295466266
1.3,4.071067841532685,34.243850763350565,-34.6805251425811
1.8,8.723721950523048,26.240652653524158,-277.53749413420934
2.5,7.83404435637512,-37.80646137744723,46.330501679418454
2.9,2.8401006239764657,-27.114807143735277,-127.48451258346405
2.9,-3.5944468522809863,-56.5343100476116,243.90754865443745
2.4,-7.962313214852517,-0.24795266581833608,30.654317965714036
1.8,-7.456300288308938,6.826120710884903,72.87517948270674
1.3,-5.112485631911732,23.643469822278767,-102.45503589654132
